id,title,contents,platform,author,published_at,url,region,hit_words,polarity,classification
202501011,我市“百人百日”戒烟大赛启动,title: 我市“百人百日”戒烟大赛启动 summary: 记者胡程利通讯员李菁）9月19日，2025年张家口市百人百日戒烟大赛在市第一医院启动。启动仪式现场，主办方还邀请市第一医院戒烟门诊负责人、呼吸与危重症医学一科副主任医师杨亚萍结合临床经验，现场就烟草的危害、科学戒烟的方法等内容进行了分享。 content: 本报讯（记者 胡程利 通讯员 李菁）9月19日，2025年张家口市“百人百日”戒烟大赛在市第一医院启动。 烟草流行是这个世界迄今所面临的最大公共卫生威胁之一，烟草燃烧的烟雾中含有7000多种已知的化学物质，不仅危害吸烟者自身健康，还会对周围人群造成被动吸烟的危害。为降低上述危害，帮助吸烟者掌握科学的戒烟方法，激发戒烟动力，由市爱卫办、市卫健委主办，桥东、桥西、经开区卫健局协办，市疾控中心、市第一医院、市中医院等具体承办的“百人百日”戒烟大赛拉开帷幕。我市主城区400余名烟民通过线上小程序报名参赛，并分别自主选择了提供戒烟技术支持的医疗机构戒烟门诊。接下来100天的时间里，各戒烟门诊将通过“同伴支持+心理疏导+行为干预+药物辅助”相结合的科学戒烟方法，结合各参赛者个人实际制定个性化戒烟方案，助力其摆脱烟草依赖。 启动仪式现场，主办方还邀请市第一医院戒烟门诊负责人、呼吸与危重症医学一科副主任医师杨亚萍结合临床经验，现场就烟草的危害、科学戒烟的方法等内容进行了分享。,张家口日报,未知,2025-09-23,http://szbk.zjknews.com/zjkrb/2025/09/23/404498.html,河北省,戒烟,正面,报道事实类
2025010112,破除“老掉牙”误区,title: 破除“老掉牙”误区 summary: ——这或许是关于口腔健康最大的误区。定期洁治是保障，每年1—2次的专业洁治是清除牙结石、控制牙菌斑的唯一有效方法，是治疗也是最重要的预防。饮食与习惯要注意，减少糖分摄入，戒烟，多吃粗纤维食物促进牙面自洁。出现问题早诊治，一旦出现牙龈出血、口腔异味、牙齿松动等迹象，应立即看牙医，而非指望上火喝凉茶解决。 content: “老了掉牙是正常的？”——这或许是关于口腔健康最大的误区。 在9月20日“全国爱牙日”来临之际，新塘街道口腔科负责人庄斯雄在接受记者采访时纠正道：“牙齿的寿命应当与人的寿命相同。老年人同样可以拥有一口健康的牙齿，‘老掉牙’不是必然规律，而是牙周病长期未得到有效治疗的结果。”庄斯雄指出，我国老年人群的牙周健康率不容乐观，其根源在于长期以来对口腔预防的忽视。 牙周病：牙齿的“沉默杀手” “很多人只知道怕蛀牙，却不知道牙周病才是导致成年人牙齿丧失的首要原因。”庄斯雄解释道。牙周病是牙齿周围支持组织（牙龈、牙槽骨等）的慢性细菌感染性疾病。它初期症状不明显，可能仅为刷牙出血、牙龈红肿，极易被忽视。但随着炎症深入，会像“沉默的杀手”一样，慢慢破坏牙齿的根基——牙槽骨，导致牙齿松动、移位，最终脱落。 “它影响的不仅是咀嚼功能，”庄斯雄补充道，“大量研究证实，牙周病的致病菌可能进入血液循环，加重糖尿病，增加心脑血管疾病和呼吸道感染的风险，甚至影响孕妇和胎儿健康。” 一份给全家人的爱牙清单 如何打破“老掉牙”的魔咒？庄斯雄为市民送上了一份“爱牙清单”。 有效清洁是关键，坚持早晚刷牙，每次至少2分钟，并学会使用牙线或冲牙器清洁牙缝，这是牙刷无法触及的“盲区”。定期洁治是保障，每年1—2次的专业洁治（洗牙）是清除牙结石、控制牙菌斑的唯一有效方法，是治疗也是最重要的预防。饮食与习惯要注意，减少糖分摄入，戒烟（吸烟是牙周病重要危险因素），多吃粗纤维食物促进牙面自洁。出现问题早诊治，一旦出现牙龈出血、口腔异味、牙齿松动等迹象，应立即看牙医，而非指望“上火”喝凉茶解决。“为父母预约一次全面的牙周检查，教会孩子正确使用牙线，这就是给家人最实在、最长情的关爱。”庄斯雄最后总结道。,晋江经济报,未知,2025-09-23,http://jjjjb.fjdaily.com/pc/con/202509/23/content_479768.html,福建省,戒烟,中性,报道事实类
202501012,戒烟记,title: 戒烟记 summary: 我是在大学念书时学会吸烟的。一个月后见到格非，问他戒烟怎样了？吸烟很多时候是一种社交行为，递烟，接烟，点火，都是一种仪式。吸烟不仅朋友间相互影响，还具有重要的社交属性。公寓里不能吸烟，吸烟跟做贼似的，要在外面流浪。好在我没有什么烟瘾，又不舍得花大价钱买烟，终致兴趣全无。 content: □叶开 我是在大学念书时学会吸烟的。 1987年9月14日凌晨，我搭乘的南宁至上海的直快列车，经过整整48个小时，终于抵校报到。 几天后，我被室友撺掇着，穿过中山北路大门，去对面杂货店买烟。 进得店来，我有点紧张，哆嗦地说：“同志，买一包红双喜……”一着急，说错了，“不，红高乐……” 那时“红双喜”是奢侈品，有南洋双喜，有广州红双喜，还有上海红双喜。最高端的是红中华，而红高乐是入门级，另有带薄荷味的绿双喜。 一名中年店员穿着蓝大褂，从杂货店深处来到跟前，隔着柜台，居高临下盻着：“小阿弟，辣叻上海，要叫师傅。晓得哇？” 同寝室王同学是上海人，他用上海话说：“师傅，一包高乐。” 我几乎同时说：“师傅，买一包红双喜。” “到底高乐，哈是红双喜？”该师傅皱眉说，“侬自家先搞搞清爽。” 外地青年被瞧扁了，不由得一种气概腾然而起，“红双喜，一包！” 就这样，我花巨款买了一包“红双喜”。因价格太昂贵，掏钱时手都在发抖。 一回到寝室，烟就被室友瓜分了。 那时的第一学生宿舍里，每一个寝室几乎都是烟雾缭绕的。另外，一些我们仰慕的青年教师也爱吸烟。比如宋琳、格非等，他们那时已发表作品，小有名气，在我们这些人眼中，更是如同天上龙凤。他们那时也没有成家，自由自在。来我们宿舍，主要是凑对打“四国大战”。玩陆战棋还需要一个裁判，主要由我担任。战斗期间，不仅手快，还要口硬。虚虚实实，云雾缭绕。如此一来，烟瘾就加深了。 1995年春，我正在读研究生，和格非去龙华参加一个葬礼。那位老前辈因吸烟太厉害，得了肺癌。之后，我们相约一起戒烟。 戒烟头几天最难受，前两个星期极难受。秘诀是吃糖，一犯瘾就吃一颗糖。一个月后，就控制住了。但体重，则噌噌噌往上涨。 一个月后见到格非，问他戒烟怎样了？ 格非惊讶道：“小廖，你还真戒烟了？” 说完，他叼起一根烟，美美地吸了起来，顺手给我来了一支，“红中华，不尝一根？” 那之前，我从未吸过红中华，这种传说事物，实在太昂贵了。看着他手上的“红中华”，我内心崩溃了。 吸烟很多时候是一种社交行为，递烟，接烟，点火，都是一种仪式。到了一定级别，要玩打火机，还要玩烟斗。 有一段时间，我常常看见隔壁老金，一天到晚叼着烟斗。他还有一只zip打火机，隔一个星期就要添加火油。火油装在铁皮罐里，显得十分高级。添加过程，就很有仪式感。 吸烟不仅朋友间相互影响，还具有重要的社交属性。你要戒掉，就相当于背叛，真是太难了。 2020年1月20日，我搭乘从上海飞往多伦多的加航飞机，刚落地皮尔森机场不久，就听到了加航停航的消息。这就进入了“疫情纪元”，一家三口挤在多伦多一间狭小公寓里，听到各种消息，越来越严重。到三月份，本来热闹的多伦多lockdown了，孩子们也不去上学了。加航恢复遥遥无期，看不到任何未来，只能困着，待着。 公寓里不能吸烟，吸烟跟做贼似的，要在外面流浪。好在我没有什么烟瘾，又不舍得花大价钱买烟，终致兴趣全无。 到现在，一根烟都没吸。,羊城晚报,未知,2025-09-23,http://ep.ycwb.com/epaper/ycwb/html/2025-09/23/content_2980_725036.htm,上海市,戒烟,中性,评论观点类
202501015,我区组建16个省级患者自我管理小组,title: 我区组建16个省级患者自我管理小组 summary: 记者施劼婧）健康无小事，管理是关键。近日，省级慢阻肺患者自我管理小组在西湖街道社区卫生服务中心开展首次互动学习活动，这也标志着我区16个医患共建的疾病管理小组开始系统开展科学控病实践。目前，我区正探索将小组活动纳入家庭医生签约服务，实现镇全覆盖。 content: 本报讯 （记者 施劼婧）健康无小事，管理是关键。近日，省级慢阻肺患者自我管理小组在西湖街道社区卫生服务中心开展首次互动学习活动，这也标志着我区16个医患共建的疾病管理小组开始系统开展科学控病实践。 慢阻肺作为可防可治的慢性病，长期面临知晓率低、治疗率低、检查率低的三低难题。据悉，我区今年组建的16个小组实行病种分类管理：5个高血压小组重点开展限盐干预，5个糖尿病小组推行血糖监测打卡，2个骨质疏松小组强化补钙指导，4个慢阻肺小组侧重呼吸训练。自我管理小组将通过设计10节标准化课程，重点培养患者自我管理能力。课程涵盖疾病认知、戒烟干预、营养运动等模块，由专业的医护人员进行指导。 据区疾控中心数据显示，这种分层管理模式已覆盖2500余名慢性病患者，规范管理率提升至82%，通过建立“患者—社区—医院”三级联动平台，将自我管理经验转化为标准化的服务包。目前，我区正探索将小组活动纳入家庭医生签约服务，实现镇（街道）全覆盖。,武进日报,未知,2025-09-23,http://epaper.routeryun.com/Article/index/aid/9039707.html,未知,戒烟,正面,报道事实类
2025010114,隐形杀手还是“健康替烟”？揭开电子烟的甜蜜陷阱,title: 隐形杀手还是“健康替烟”？揭开电子烟的甜蜜陷阱 content: 当街头巷尾的电子烟店用缤纷口味和酷炫设计吸引年轻人，当“帮助戒烟”“减害产品”的广告语四处传播，您是否也曾对电子烟产生过一丝好奇？然而，这层科技与时尚包裹的外衣下，隐藏着不容忽视的健康风险。 一、电子烟究竟是什么？ 电子烟（E-cigarettes），又称“电子尼古丁输送系统”，其工作原理通常是通过电池加热烟液（俗称“烟油”），产生气溶胶供用户吸入。这种气溶胶并非无害的“水蒸气”，而是包含尼古丁、香料、溶剂等多种化学物质的混合物。 二、电子烟的四大核心危害？ 1. 成瘾性“元凶”：尼古丁 尽管形态不同，绝大多数电子烟烟油的核心成分仍是尼古丁。尼古丁是高度成瘾性物质，尤其会对青少年的大脑发育造成损害，影响注意力和记忆力，并为未来成瘾性行为埋下隐患。 2. “美味”陷阱：五花八门的添加剂 为了吸引年轻用户，电子烟提供了成千上万种风味，如水果糖、薄荷、蛋糕等。这些诱人的香味大多来自双乙酰等化学香料。吸入双乙酰已被证实与一种严重的肺部疾病——“爆米花肺”（闭塞性细支气管炎）相关，会导致不可逆的肺损伤和呼吸困难。 3. 隐形伤害：有毒物质电子烟产生的气溶胶中含有大量细颗粒物（PM2.5）和超细颗粒物，可深入肺泡并进入血液循环，引发肺部炎症和心血管系统压力。同时，研究还在气溶胶中检测出甲醛、乙醛等挥发性有机化合物以及重金属（如铅、镍、铬），这些物质具有明确的致癌性。 4. 青少年的“入门烟” 世界卫生组织（WHO）已明确指出，电子烟的使用会显著增加青少年日后吸食传统卷烟的可能性。它不仅是“替代品”，更可能成为诱导非吸烟者（尤其是青少年）尼古丁成瘾的“入门产品”。 三、常见误区辨析 误区一：“电子烟能帮助戒烟。” 目前，电子烟作为戒烟工具的有效性和安全性并未得到充分、可靠的科学证据支持。世界卫生组织不建议将电子烟作为戒烟手段。许多使用者最终会形成电子烟和传统卷烟的“双重使用”，尼古丁摄入量不降反升。 误区二：“电子烟比传统卷烟危害小很多。” “减害”不等于“无害”。虽然电子烟产生的有害物质种类可能少于传统卷烟，但它会带来独特的健康风险（如“爆米花肺”）。对于非吸烟者，尤其是青少年，使用电子烟是“从零到一”的伤害，有百害而无一利。 误区三：“吸入的是无害水蒸气。” 这是最大的误解。电子烟产生的是含有尼古丁、重金属和多种化学添加剂的气溶胶，其对环境和周围人群（二手烟）的影响同样不容忽视。 四、如何远离电子烟危害？ 1. 非吸烟者，尤其是青少年： 坚决不尝试，不抱有任何好奇心。认清电子烟的成瘾本质和健康风险。 2. 吸烟者寻求戒烟： 应寻求科学、专业的戒烟方法，如前往医院的“戒烟门诊”咨询，或使用经国家药品监督管理局批准的戒烟药物。 3. 提高辨别能力： 警惕电子烟营销中的“时尚”“健康”话术，学会透过现象看本质。 4. 创建无烟环境： 倡导在室内公共场所、交通工具内禁止使用电子烟，保护他人免受二手气溶胶的危害。 远离 烟草 电子烟并非时尚潮流的安全玩具，也不是值得信赖的戒烟神器。它是一把裹着糖衣的健康利剑，尤其对青少年构成严重威胁。选择清新健康的生活，需要对所有形式的烟草产品（包括电子烟）说“不”。如果您或身边的人正面临尼古丁成瘾的困扰，请主动寻求专业帮助，用科学的方式守护呼吸健康。,冀云遵化客户端,未知,2025-09-23 17:42:57,http://jiyunzunhua.hebyun.com.cn/pages/2025/09/23/302c7343cab241558ea0c49abcc4322b.html,未知,戒烟,中性,评论观点类
202501011,【健康教育】禁烟控烟知识宣传,"title: 【健康教育】禁烟控烟知识宣传 content: 一、烟草的危害 吸烟可带来减少寿命、诱发心血管疾病、导致肺部疾病、影响睡眠等多种危害，同时，它也是多种疾病的诱发因素。烟草中的有害成分达3000余种，明确的致癌物有69种。你可能不知道： 1支烟中的尼古丁可毒死一只老鼠； 25支烟中的尼古丁可毒死一头牛； 40-60毫克的尼古丁可毒死一个人。 而近年，年轻人追捧的电子烟，正在以其独特的营销方式让青年朋友为之疯狂。 图片源自网络 二、二手烟及其危害 二手烟指从卷烟或其他烟草制品燃烧端散发的烟雾，且通常与吸烟者散发的烟雾混杂在一起。二手烟中含有几百种已知的有毒或者致癌物质,包括甲醛、苯、氯乙烯、砷、氨和氢氰酸等。 二手烟已被美国环保署和国际癌症研究署确定为A类致癌物质。与吸烟者本人吸入的烟雾相比，二手烟的许多致癌和有毒化学物质的浓度更高。吸烟会导致多种脑部疾病，会减少循环脑部的氧气和血液，引发脑部血管出血及闭塞，导致麻痹、智力衰退及中风。 三、如何科学戒烟 1、意志戒烟法：下定决心，熬过初期的困难阶段；做好安排，转移自己的注意力；培养新习惯，如饭后饮茶代替吸烟，尽量避免进入吸烟的环境。 2、减量戒烟法：如定下计划，第一周每天减5支，第二周每天减10支，第三周减剩5支，第四周完全戒掉。 3、药物戒烟法：有戒烟汤、酒、茶、糖等剂型。有计划地服用，逐步减少吸烟，能收到一定成效。 4、医生劝告戒烟法：吸烟者有不适时，医生指出吸烟的危害建议其戒烟，易收到较好的效果。 5、饮食戒烟法：碱性食物有利于平衡体液的酸碱度而戒烟，如瓜果蔬菜类、豆类、牛奶、海藻食物等。 四、戒烟从来不晚 五、常见戒烟认识误区 五、青少年控烟宣传核心信息 七、禁烟控烟倡议书 1. 要在办公室、会议室、教室等场所率先做到全面禁烟、张贴禁烟标志，并通过各种禁烟形式宣传吸烟有害的健康科普知识。 #2 2. 学习烟草危害知识，提高控烟防护意识，做好控烟支持者和参与者。 #3 3. 自觉遵守在公共场所禁止吸烟规定，不在公共场所吸烟。 #4 4. 谢绝一支香烟，养成文明健康生活方式 #5 5. 积极参与“无烟单位” 创建活动，营造主动参与控烟，自觉远离烟草的氛围。 #6 6. 争做控烟宣传员和劝导员，鼓励吸烟者早日戒烟。 #7 7. 敢于向“二手烟”说不，同时对吸烟者进行劝阻。 让我们行动起来 拒绝烟草，珍爱生命 减少疾病，引领健康 共创一个没有烟草危害的 清新环境与和谐社会！ 来源：苍梧县人民医院 排版：杨喜杏 审核：周丝莹 责编：苏全宝 ©洱海之源七彩云 公众号：yndleytv 电话：0872-5120228 邮箱：eyxrmtzx@163.com",七彩云端客户端,杨喜杏,2025-09-23 17:28:40,http://mtydazzle.yntv.net/pages/details/details.html?companyId=ysxw&productId=7F9A1B14E41B4259A34223A7D744C0DB&docid=6886AB9752DC418191B5E4AC06597D59&isNew=yes&downloadTips=true&jumpCode=QCYD&type=news&articleType=1,未知,控烟、戒烟,中性,报道事实类
2025010110,守护幼儿健康 警惕二手烟,title: 守护幼儿健康 警惕二手烟 content: 二手烟是烟草燃烧后主流烟（吸烟者呼出烟雾）与侧流烟（烟草直接燃烧烟雾）的混合物，含尼古丁、焦油等7000余种化学物质，其中至少69种为明确致癌物。幼儿生长发育未成熟，对二手烟毒性更敏感，面临多系统不可逆健康风险。 在呼吸系统，二手烟刺激幼儿娇嫩呼吸道黏膜，致黏液增多、气道痉挛，使婴幼儿哮喘发病率升高30%以上，还增加感冒、支气管炎等感染风险，严重时损伤肺功能；同时刺激咽鼓管黏膜，诱发分泌性中耳炎，长期可致永久性听力损伤。神经系统方面，尼古丁能穿过幼儿血脑屏障，干扰神经发育，使长期暴露幼儿IQ平均低2~4分，认知功能滞后，还可能引发多动、注意力不集中等行为问题，甚至发展为ADHD。免疫系统层面，二手烟抑制免疫细胞活性，减少抗体，让幼儿更易患手足口病、水痘等感染性疾病，且病程长、症状重，还可能诱发或加重过敏性疾病。 2岁的小宇（化名）因家人吸烟，每月至少发作1次哮喘，家人戒烟后，其哮喘发作频率降至每年1-2次，生长发育追上同龄儿童。3岁的朵朵（化名）因父亲在家吸烟，出现听力下降，诊断为分泌性中耳炎，家庭戒烟配合治疗3个月后，听力恢复正常。 防范需构建“零烟环境”：家庭中，成员应戒烟，不在家及幼儿车内吸烟；吸烟者接触幼儿前需换衣洗漱，定期清洁家居；拒绝客人在家吸烟。公共场合，带幼儿避开吸烟区，优先选择无烟场所。社会支持上，有戒烟需求者可咨询戒烟门诊、用正规戒烟药或加入互助小组，向亲友普及二手烟危害，形成无烟社交圈。 二手烟对幼儿多系统伤害不可逆，还会增加成年后患病风险。防范二手烟是所有人的责任，需“戒烟”“避烟”结合，为幼儿筑牢健康屏障。 作者：解放军总医院第七医学中心儿科医学部 董丽,中国军号客户端,未知,2025-09-23 17:03:53,http://web.junhao.mil.cn/cms/rmt9502_html/0/0rmhlm/zxrm/zghjy/5607902.shtml,未知,戒烟,中性,报道事实类
2025010119,电子烟不是烟？医生为劝大家戒烟脱口秀都用上了！看完还敢抽吗,"title: 电子烟不是烟？医生为劝大家戒烟脱口秀都用上了！看完还敢抽吗 content: &lt;VIDEO SRC=""https://img.peopledailyhealth.com/c701670f1c124569a3950e16a2e647ad.mp4""&lt;/VIDEO",塔城好地方客户端,心血管王医生,2025-09-23 16:10:19,http://tnews.xjmty.com/app/tchdf/tj/202509/t20250917_30686066.html,未知,戒烟,中性,评论观点类
2025010123,汉川：慢阻肺秋冬“肆虐”，仙女山医院做客《健康之窗》揭秘应对良方,title: 汉川：慢阻肺秋冬“肆虐”，仙女山医院做客《健康之窗》揭秘应对良方 content: 湖北日报客户端讯（通讯员徐云）随着秋冬季节来临，慢阻肺进入高发期。9月23日，汉川市仙女山医院主治医师张莉芳、护士长邹菊受邀做客市融媒体中心《健康之窗》栏目，为公众讲解慢阻肺防治知识。 节目中医师张莉芳指出，慢阻肺的核心特征是气流长期受限，主要症状为“咳、痰、喘”，吸烟、空气污染等是重要诱因。护士长邹菊强调，肺功能检查是诊断“金标准”，治疗需长期规范管理，以吸入药物为主，配合氧疗、呼吸康复等非药物手段。 针对秋冬防护，专家建议患者务必戒烟、接种疫苗、注意保暖戴口罩；饮食应高蛋白、低盐少食多餐；运动宜选室内或午间温暖时段。此外，需坚持3至6个月定期随访，不可自行停药，出现症状加重应及时就医。 本次节目内容实用，为慢阻肺患者提供了系统化的秋冬健康管理指南，受到观众好评。 （编辑：陈思 制作：周艳 审核：何梦）,湖北日报客户端,未知,2025-09-23 15:42:41,http://news.hubeidaily.net/hbrbsharenew/index_share/5/4571454/4103494/4103494/0?w=1758614952436,湖北省,戒烟,正面,报道事实类
2025010136,慢阻肺秋冬“肆虐”，仙女山医院做客《健康之窗》揭秘应对良方,title: 慢阻肺秋冬“肆虐”，仙女山医院做客《健康之窗》揭秘应对良方 content: 随着秋冬季节来临，慢阻肺进入高发期。9月23日，汉川市仙女山医院主治医师张莉芳、护士长邹菊受邀做客市融媒体中心《健康之窗》栏目，为公众讲解慢阻肺防治知识。 节目中医师张莉芳指出，慢阻肺的核心特征是气流长期受限，主要症状为“咳、痰、喘”，吸烟、空气污染等是重要诱因。护士长邹菊强调，肺功能检查是诊断“金标准”，治疗需长期规范管理，以吸入药物为主，配合氧疗、呼吸康复等非药物手段。 针对秋冬防护，专家建议患者务必戒烟、接种疫苗、注意保暖戴口罩；饮食应高蛋白、低盐少食多餐；运动宜选室内或午间温暖时段。此外，需坚持3至6个月定期随访，不可自行停药，出现症状加重应及时就医。 本次节目内容实用，为慢阻肺患者提供了系统化的秋冬健康管理指南，受到观众好评。 （通讯员：徐云 编辑：陈思 制作：周艳 审核：何梦）,长江云客户端,未知,2025-09-23 15:41:00,http://m.hcsrmt.cn/p/132393.html,未知,戒烟,中性,报道事实类
